#{"t_start": 1762470147.350102, "env_id": "None"}
r,l,t
24.0,200,0.485621
57.0,200,0.51288
25.5,200,0.542177
51.0,200,0.571622
26.0,200,0.599457
21.4,200,0.627919
21.6,200,0.655961
19.0,200,0.68569
41.4,200,0.713745
51.9,200,0.741519
3.8,200,1.023147
33.1,200,1.050742
23.9,200,1.07983
40.8,200,1.107923
1.3,200,1.135892
56.6,200,1.162411
35.8,200,1.191366
6.2,200,1.220543
39.0,200,1.248047
57.5,200,1.275072
1.5,200,1.532597
30.6,200,1.559976
24.8,200,1.588365
3.3,200,1.619113
5.7,200,1.647479
39.0,200,1.67451
22.1,200,1.70209
1.5,200,1.731416
49.3,200,1.75886
41.6,200,1.786712
29.9,200,2.043412
57.7,200,2.070961
18.4,200,2.099624
22.9,200,2.128625
30.8,200,2.158238
56.4,200,2.185245
48.0,200,2.213169
8.6,200,2.249995
45.1,200,2.297588
39.5,200,2.325243
58.1,200,2.581411
24.9,200,2.60994
56.5,200,2.637204
39.5,200,2.666095
45.4,200,2.693938
-2.1,200,2.722285
22.1,200,2.750498
18.0,200,2.780693
2.4,200,2.809153
32.8,200,2.837169
29.5,200,2.865086
35.1,200,3.118503
28.0,200,3.146154
23.5,200,3.175168
34.4,200,3.20419
24.0,200,3.231528
3.7,200,3.260436
26.6,200,3.288484
47.4,200,3.31674
53.2,200,3.343664
37.7,200,3.371088
30.0,200,3.624526
23.7,200,3.651985
40.0,200,3.679093
31.0,200,3.706268
37.8,200,3.736645
51.1,200,3.76385
38.0,200,3.791567
4.6,200,3.822085
13.1,200,3.851304
40.6,200,3.878555
23.1,200,4.130665
7.0,200,4.159753
33.8,200,4.187309
26.6,200,4.214188
57.0,200,4.241233
1.4,200,4.27004
34.7,200,4.29783
47.6,200,4.324966
54.8,200,4.352443
51.6,200,4.379487
50.7,200,4.631478
37.2,200,4.660253
54.3,200,4.687997
24.8,200,4.716164
0.8,200,4.744497
22.3,200,4.773599
54.4,200,4.800718
43.1,200,4.828395
50.3,200,4.855612
50.2,200,4.884211
21.1,200,4.911571
57.4,200,5.162165
31.8,200,5.190936
45.3,200,5.217775
57.9,200,5.244433
1.5,200,5.273238
22.6,200,5.302274
17.0,200,5.330617
57.6,200,5.357808
2.5,200,5.386617
1.7,200,5.415377
37.7,200,5.667148
26.8,200,5.695086
30.5,200,5.723942
22.6,200,5.751695
19.1,200,5.779334
51.7,200,5.806411
54.9,200,5.834413
57.9,200,5.86161
18.8,200,5.890197
23.8,200,5.92111
43.1,200,6.186506
25.0,200,6.215886
-0.0,200,6.246384
54.1,200,6.274366
14.3,200,6.303199
21.7,200,6.333155
40.5,200,6.361031
54.6,200,6.388619
40.8,200,6.416186
35.3,200,6.445471
32.3,200,6.709906
26.9,200,6.738722
24.0,200,6.766882
47.9,200,6.79412
57.7,200,6.821214
3.5,200,6.850947
37.1,200,6.878638
56.7,200,6.905308
54.8,200,6.931999
28.8,200,6.961292
19.2,200,6.989766
2.8,200,7.245827
26.9,200,7.275311
45.5,200,7.302493
35.6,200,7.329953
1.6,200,7.358624
29.7,200,7.387408
30.1,200,7.415692
28.2,200,7.443227
29.4,200,7.471108
38.8,200,7.499154
29.9,200,7.752013
37.3,200,7.779408
31.0,200,7.807982
32.9,200,7.836777
25.7,200,7.864407
56.1,200,7.891916
54.5,200,7.919912
20.0,200,7.947457
2.3,200,7.975668
18.9,200,8.003942
20.6,200,8.254494
14.9,200,8.28318
12.0,200,8.311437
39.1,200,8.339915
53.7,200,8.366744
56.4,200,8.393979
21.3,200,8.421877
38.1,200,8.449552
37.8,200,8.477196
41.7,200,8.504997
24.5,200,8.755393
37.5,200,8.783532
25.1,200,8.811701
26.0,200,8.840272
56.7,200,8.868455
21.6,200,8.896254
23.5,200,8.923699
32.2,200,8.951844
22.1,200,8.979918
8.5,200,9.008251
24.3,200,9.035713
46.6,200,9.300111
38.6,200,9.328653
42.1,200,9.357268
44.9,200,9.386665
0.7,200,9.416152
12.2,200,9.444681
29.3,200,9.474307
20.3,200,9.503434
4.0,200,9.533258
30.9,200,9.561929
23.7,200,9.828327
4.4,200,9.857861
51.4,200,9.885288
28.5,200,9.914827
33.1,200,9.943745
49.5,200,9.971946
27.7,200,10.001355
31.4,200,10.029878
24.9,200,10.05778
20.1,200,10.086224
35.1,200,10.342869
4.5,200,10.372399
30.9,200,10.400102
36.5,200,10.428706
33.4,200,10.457219
18.9,200,10.485183
50.2,200,10.512953
55.3,200,10.542349
18.5,200,10.571993
39.9,200,10.600268
-0.2,200,10.8627
49.2,200,10.890217
17.4,200,10.918982
3.1,200,10.948444
23.7,200,10.979977
9.8,200,11.008815
20.7,200,11.036739
24.3,200,11.065577
26.2,200,11.0938
52.2,200,11.120907
50.4,200,11.147352
36.4,200,11.402688
35.5,200,11.430648
51.9,200,11.458068
-6.1,200,11.487489
48.6,200,11.514879
52.4,200,11.54203
47.8,200,11.569107
52.8,200,11.596993
47.2,200,11.624371
14.4,200,11.652241
33.0,200,11.904799
35.3,200,11.932293
40.5,200,11.960151
-3.3,200,11.988924
28.6,200,12.018412
30.3,200,12.045817
36.1,200,12.073136
50.6,200,12.099789
17.1,200,12.128692
28.5,200,12.156739
41.1,200,12.407361
43.6,200,12.436233
14.4,200,12.463816
39.8,200,12.490973
33.1,200,12.519955
49.5,200,12.547152
46.3,200,12.57458
40.4,200,12.602069
30.6,200,12.631063
24.1,200,12.658381
50.9,200,12.909216
49.7,200,12.937515
32.9,200,12.965774
36.2,200,12.993461
49.4,200,13.020638
26.1,200,13.049495
33.5,200,13.077065
40.7,200,13.105462
48.0,200,13.132316
51.1,200,13.160272
37.7,200,13.187746
43.2,200,13.43789
36.8,200,13.466053
23.1,200,13.494737
23.7,200,13.52313
31.1,200,13.551795
33.9,200,13.580664
25.5,200,13.60874
49.0,200,13.635878
33.8,200,13.662954
51.6,200,13.703688
22.0,200,13.965038
50.3,200,13.993156
46.2,200,14.020272
54.3,200,14.047438
50.8,200,14.074586
38.3,200,14.102963
42.3,200,14.130146
30.9,200,14.15727
37.4,200,14.184262
27.3,200,14.212377
46.6,200,14.463274
21.0,200,14.491458
53.1,200,14.519698
51.7,200,14.546984
29.3,200,14.575877
-0.8,200,14.605146
53.2,200,14.633332
