#{"t_start": 1762470039.9470809, "env_id": "None"}
r,l,t
24.0,200,0.574825
57.0,200,0.605204
25.5,200,0.635905
51.0,200,0.664396
26.0,200,0.692794
21.4,200,0.722392
21.6,200,0.751065
19.0,200,0.779537
41.4,200,0.807998
51.9,200,0.836633
3.8,200,1.130254
33.1,200,1.159334
23.9,200,1.18955
40.8,200,1.218879
1.3,200,1.249006
56.6,200,1.277589
35.8,200,1.307524
6.2,200,1.338662
39.0,200,1.367824
57.5,200,1.396887
1.5,200,1.666828
30.6,200,1.695929
24.8,200,1.725846
3.3,200,1.757074
5.7,200,1.787644
39.0,200,1.816124
22.1,200,1.845606
1.5,200,1.874343
49.3,200,1.902524
41.6,200,1.931284
29.9,200,2.200289
57.7,200,2.227688
18.4,200,2.25582
22.9,200,2.283434
30.8,200,2.311221
56.4,200,2.337862
48.0,200,2.365165
8.6,200,2.394593
45.1,200,2.421405
39.5,200,2.448326
58.1,200,2.696959
24.9,200,2.725421
56.5,200,2.752487
39.5,200,2.779747
45.4,200,2.806746
-2.1,200,2.834839
22.1,200,2.862708
18.0,200,2.891516
2.4,200,2.919444
32.8,200,2.947013
29.5,200,2.974611
35.1,200,3.234784
28.0,200,3.263572
23.5,200,3.293213
34.4,200,3.321385
24.0,200,3.349468
3.7,200,3.378555
26.6,200,3.40675
47.4,200,3.433708
53.2,200,3.46064
37.7,200,3.487697
30.0,200,3.747469
23.7,200,3.777479
40.0,200,3.808555
31.0,200,3.837453
37.8,200,3.866774
51.1,200,3.894148
38.0,200,3.921907
4.6,200,3.951286
13.1,200,3.97999
40.6,200,4.007441
23.1,200,4.316537
7.0,200,4.347103
33.8,200,4.37577
26.6,200,4.404179
57.0,200,4.431453
1.4,200,4.460525
34.7,200,4.489037
47.6,200,4.516782
54.8,200,4.544112
51.6,200,4.571916
50.7,200,4.839702
37.2,200,4.868269
54.3,200,4.896228
24.8,200,4.924934
0.8,200,4.954268
22.3,200,4.982968
54.4,200,5.010219
43.1,200,5.03833
50.3,200,5.065937
50.2,200,5.09353
21.1,200,5.121914
57.4,200,5.397465
31.8,200,5.425323
45.3,200,5.452317
57.9,200,5.478799
1.5,200,5.507312
22.6,200,5.535521
17.0,200,5.563511
57.6,200,5.590231
2.5,200,5.617663
1.7,200,5.645728
37.7,200,5.895683
26.8,200,5.92329
30.5,200,5.950819
22.6,200,5.978121
19.1,200,6.005508
51.7,200,6.032557
54.9,200,6.05895
57.9,200,6.085549
18.8,200,6.113078
23.8,200,6.140901
43.1,200,6.390456
25.0,200,6.418394
-0.0,200,6.446341
54.1,200,6.47332
14.3,200,6.501427
21.7,200,6.529403
40.5,200,6.556331
54.6,200,6.583089
40.8,200,6.610259
35.3,200,6.637653
32.3,200,6.892606
26.9,200,6.923358
24.0,200,6.952093
47.9,200,6.980706
57.7,200,7.009384
3.5,200,7.038485
37.1,200,7.065565
56.7,200,7.092268
54.8,200,7.11996
28.8,200,7.149141
19.2,200,7.17837
2.8,200,7.43891
26.9,200,7.467878
45.5,200,7.49582
35.6,200,7.524198
1.6,200,7.553182
29.7,200,7.581086
30.1,200,7.609454
28.2,200,7.637418
29.4,200,7.664844
38.8,200,7.691466
29.9,200,7.949442
37.3,200,7.978127
31.0,200,8.006405
32.9,200,8.036043
25.7,200,8.06457
56.1,200,8.092065
54.5,200,8.119415
20.0,200,8.147839
2.3,200,8.176256
18.9,200,8.203562
20.6,200,8.465645
14.9,200,8.495144
12.0,200,8.523886
39.1,200,8.551801
53.7,200,8.579038
56.4,200,8.606715
21.3,200,8.634646
38.1,200,8.662096
37.8,200,8.68977
41.7,200,8.717337
24.5,200,8.968891
37.5,200,8.997844
25.1,200,9.027178
26.0,200,9.055622
56.7,200,9.084002
21.6,200,9.112615
23.5,200,9.141116
32.2,200,9.169123
22.1,200,9.197799
8.5,200,9.226901
24.3,200,9.254556
46.6,200,9.504381
38.6,200,9.532036
42.1,200,9.559357
44.9,200,9.586617
0.7,200,9.615107
12.2,200,9.642772
29.3,200,9.670398
20.3,200,9.698498
4.0,200,9.727281
30.9,200,9.754651
23.7,200,10.056483
4.4,200,10.108769
51.4,200,10.1415
28.5,200,10.16915
33.1,200,10.19799
49.5,200,10.226212
27.7,200,10.254147
31.4,200,10.281721
24.9,200,10.309341
20.1,200,10.337101
35.1,200,10.604837
4.5,200,10.635327
30.9,200,10.66346
36.5,200,10.690845
33.4,200,10.719075
18.9,200,10.747023
50.2,200,10.77414
55.3,200,10.801137
18.5,200,10.829063
39.9,200,10.856727
-0.2,200,11.107978
49.2,200,11.135118
17.4,200,11.164522
3.1,200,11.196404
23.7,200,11.228937
9.8,200,11.259389
20.7,200,11.288543
24.3,200,11.317047
26.2,200,11.346148
52.2,200,11.373266
50.4,200,11.400091
36.4,200,11.651908
35.5,200,11.680292
51.9,200,11.708889
-6.1,200,11.738798
