#{"t_start": 1762470303.079807, "env_id": "None"}
r,l,t
24.6,200,0.480493
11.4,200,0.51359
23.5,200,0.546274
15.5,200,0.578059
34.9,200,0.613425
40.9,200,0.645009
34.4,200,0.677792
9.4,200,0.711393
58.2,200,0.744126
19.3,200,0.779194
30.0,200,0.811968
4.0,200,0.844622
24.8,200,0.881208
20.4,200,0.914098
12.0,200,0.947811
39.9,200,0.981861
45.8,200,1.016092
57.6,200,1.04901
38.5,200,1.083527
26.3,200,1.117559
55.0,200,1.152037
26.7,200,1.187054
42.1,200,1.220486
38.3,200,1.254164
44.1,200,1.289334
4.2,200,1.323478
48.2,200,1.356773
56.9,200,1.390834
38.4,200,1.427374
23.0,200,1.462129
33.9,200,1.497284
28.6,200,1.530987
54.4,200,1.566554
41.7,200,1.601852
40.1,200,1.636893
36.4,200,1.672155
10.3,200,1.712117
29.4,200,1.748066
23.6,200,1.783721
34.7,200,1.82091
53.0,200,1.858369
18.1,200,1.894505
27.5,200,1.932506
58.0,200,1.967371
47.6,200,2.0044
19.6,200,2.042132
21.7,200,2.079651
45.4,200,2.117105
1.7,200,2.155812
20.7,200,2.193839
33.6,200,2.234737
28.2,200,2.271631
19.4,200,2.311433
22.0,200,2.35001
4.4,200,2.387771
20.0,200,2.425174
7.6,200,2.466383
17.9,200,2.506367
29.0,200,2.54431
12.6,200,2.583323
19.9,200,2.626046
12.8,200,2.668515
27.7,200,2.707071
3.8,200,2.746748
21.9,200,2.786346
13.1,200,2.825772
25.9,200,2.866481
8.8,200,2.906412
53.1,200,2.945571
24.5,200,2.986192
42.3,200,3.024666
40.9,200,3.064847
35.8,200,3.105985
6.8,200,3.146545
42.3,200,3.187836
39.4,200,3.227694
12.4,200,3.269598
32.5,200,3.310513
25.6,200,3.351601
19.9,200,3.392809
7.7,200,3.43528
27.1,200,3.476428
41.5,200,3.518192
25.5,200,3.557301
40.2,200,3.600621
23.3,200,3.64146
51.0,200,3.680275
43.9,200,3.721663
22.1,200,3.763399
41.2,200,3.804056
50.4,200,3.8457
29.4,200,3.887107
56.0,200,3.929682
45.7,200,3.970021
53.3,200,4.010318
29.7,200,4.052878
27.5,200,4.096832
6.0,200,4.140077
21.5,200,4.182405
59.0,200,4.224189
13.0,200,4.27003
34.0,200,4.311945
53.9,200,4.355057
48.5,200,4.396794
49.4,200,4.441255
46.9,200,4.48323
17.3,200,4.526061
25.5,200,4.568924
42.8,200,4.612536
52.9,200,4.655553
56.9,200,4.697547
47.2,200,4.739204
21.0,200,4.785151
49.9,200,4.826579
59.3,200,4.868263
23.6,200,4.911313
50.5,200,4.954406
25.8,200,4.998231
41.9,200,5.041424
12.3,200,5.086079
40.9,200,5.130614
44.8,200,5.172684
26.0,200,5.217732
55.9,200,5.259571
49.4,200,5.303408
39.5,200,5.344232
11.8,200,5.387511
34.9,200,5.431
16.1,200,5.474617
53.4,200,5.517392
36.5,200,5.560105
53.9,200,5.602531
34.2,200,5.64677
32.8,200,5.689158
53.1,200,5.731509
48.0,200,5.773199
53.2,200,5.817512
29.4,200,5.859824
36.0,200,5.901488
29.9,200,5.946028
33.0,200,5.990659
37.0,200,6.034166
13.0,200,6.076715
39.4,200,6.117818
32.8,200,6.162258
40.4,200,6.204423
43.8,200,6.24789
41.5,200,6.290036
9.9,200,6.334341
41.5,200,6.37705
57.2,200,6.417992
55.9,200,6.460215
54.0,200,6.504177
37.6,200,6.546635
42.0,200,6.589119
7.5,200,6.631891
12.4,200,6.677279
35.0,200,6.719734
28.5,200,6.762086
14.7,200,6.805749
35.9,200,6.85051
28.9,200,6.895048
50.0,200,6.937187
15.6,200,6.982319
19.8,200,7.025852
22.2,200,7.067928
30.3,200,7.109563
21.7,200,7.1524
15.0,200,7.198361
30.3,200,7.240845
55.9,200,7.283287
31.4,200,7.325225
53.0,200,7.368143
38.0,200,7.41103
27.4,200,7.452842
31.9,200,7.497435
2.7,200,7.540849
20.9,200,7.58305
45.8,200,7.625837
10.9,200,7.669103
48.8,200,7.71262
49.8,200,7.754185
56.8,200,7.796046
51.8,200,7.837453
31.4,200,7.90625
16.9,200,7.950918
33.0,200,7.993033
23.9,200,8.036681
40.5,200,8.080004
33.9,200,8.124701
35.0,200,8.166686
54.7,200,8.210718
33.3,200,8.25487
52.8,200,8.296124
17.7,200,8.341646
52.0,200,8.383054
58.2,200,8.424801
48.9,200,8.467634
27.2,200,8.509046
23.5,200,8.555327
26.0,200,8.599864
25.6,200,8.641931
28.0,200,8.68521
32.0,200,8.727322
50.9,200,8.771443
41.0,200,8.813089
28.9,200,8.856287
32.0,200,8.899395
25.9,200,8.94347
35.5,200,8.986821
19.5,200,9.029128
48.2,200,9.071911
31.9,200,9.118706
33.4,200,9.159987
19.3,200,9.204379
23.9,200,9.247206
25.2,200,9.291082
51.7,200,9.3318
49.2,200,9.374213
41.8,200,9.416218
