#{"t_start": 1762470392.042762, "env_id": "None"}
r,l,t
27.4,200,12.659344
51.3,200,12.702128
32.7,200,12.745124
27.1,200,12.788605
27.3,200,12.832165
53.9,200,12.877168
44.0,200,12.919011
17.1,200,12.963266
39.7,200,13.005897
48.7,200,13.049069
49.9,200,13.092148
58.3,200,13.133327
53.0,200,13.176581
38.4,200,13.244633
20.2,200,13.289163
56.3,200,13.330706
43.7,200,13.374674
52.4,200,13.417537
43.4,200,13.460695
52.9,200,13.503663
53.0,200,13.54542
41.3,200,13.589664
56.3,200,13.631207
28.0,200,13.674477
21.2,200,13.716201
49.1,200,13.759189
47.8,200,13.802257
25.3,200,13.844744
32.3,200,13.887026
41.7,200,13.931806
57.8,200,13.973073
50.6,200,14.015735
58.4,200,14.056672
27.3,200,14.101468
20.5,200,14.1443
53.1,200,14.185652
38.9,200,14.228391
25.7,200,14.271769
34.9,200,14.315351
56.9,200,14.357068
27.9,200,14.400195
29.1,200,14.444231
52.9,200,14.486074
7.8,200,14.530031
45.3,200,14.57213
54.7,200,14.615175
49.4,200,14.658454
56.9,200,14.699903
9.3,200,14.743224
42.9,200,14.787533
48.5,200,14.828932
53.2,200,14.871273
50.7,200,14.913394
49.9,200,14.957177
58.4,200,14.999067
25.4,200,15.041699
53.7,200,15.083028
38.3,200,15.125941
48.1,200,15.16868
16.2,200,15.211701
35.8,200,15.256084
47.0,200,15.299272
35.9,200,15.340936
42.8,200,15.385221
44.2,200,15.426519
46.6,200,15.470495
43.4,200,15.512938
40.7,200,15.557831
15.2,200,15.601568
18.8,200,15.645598
3.9,200,15.689576
38.1,200,15.731218
46.0,200,15.774111
35.2,200,15.817207
37.4,200,15.859381
37.9,200,15.90247
25.4,200,15.944675
39.3,200,15.989076
26.2,200,16.030712
24.7,200,16.072473
54.8,200,16.114543
51.9,200,16.157337
24.5,200,16.200447
15.9,200,16.244371
51.9,200,16.28564
33.3,200,16.33027
49.1,200,16.371719
55.8,200,16.414424
24.9,200,16.456326
41.3,200,16.499813
42.4,200,16.544677
49.3,200,16.585746
