#{"t_start": 1762470347.676585, "env_id": "None"}
r,l,t
48.6,200,0.473221
25.9,200,0.506317
17.9,200,0.539054
57.2,200,0.572696
29.9,200,0.608671
14.6,200,0.643121
32.3,200,0.676114
20.9,200,0.70809
24.7,200,0.742153
41.7,200,0.775814
56.0,200,0.807379
15.3,200,0.840568
35.0,200,0.876402
56.6,200,0.908113
19.9,200,0.941847
4.4,200,0.977397
44.4,200,1.011766
37.9,200,1.045131
46.9,200,1.079544
22.7,200,1.113998
27.5,200,1.149639
15.6,200,1.185535
54.5,200,1.218836
22.6,200,1.253211
26.6,200,1.290052
31.8,200,1.32457
24.3,200,1.3601
2.0,200,1.397072
30.8,200,1.433242
52.3,200,1.46732
20.1,200,1.502687
24.6,200,1.558234
35.8,200,1.603169
29.0,200,1.639242
34.1,200,1.675032
21.9,200,1.71206
33.2,200,1.748677
16.3,200,1.785242
30.3,200,1.823199
29.6,200,1.859881
51.3,200,1.896644
31.5,200,1.934894
41.6,200,1.972351
23.3,200,2.012386
54.6,200,2.051233
55.0,200,2.089439
22.3,200,2.129292
46.3,200,2.167338
43.6,200,2.206967
57.3,200,2.245647
25.0,200,2.286735
55.9,200,2.324646
6.9,200,2.366795
29.0,200,2.406268
8.6,200,2.447644
3.2,200,2.487192
4.4,200,2.530133
22.5,200,2.571064
11.2,200,2.611487
29.7,200,2.653232
25.8,200,2.694805
39.7,200,2.733493
25.9,200,2.775379
25.5,200,2.816841
55.9,200,2.858936
1.5,200,2.89981
34.4,200,2.940692
44.6,200,2.98163
51.8,200,3.022854
30.8,200,3.066539
41.3,200,3.107641
23.8,200,3.148355
24.4,200,3.192423
28.4,200,3.23308
26.9,200,3.275434
-1.8,200,3.316735
22.5,200,3.361025
22.0,200,3.403461
15.3,200,3.445961
28.5,200,3.488433
14.7,200,3.532993
28.0,200,3.574817
20.2,200,3.618268
6.4,200,3.66124
50.6,200,3.704888
22.5,200,3.746283
36.7,200,3.78751
42.3,200,3.830043
45.1,200,3.873441
41.3,200,3.915627
11.3,200,3.957255
8.8,200,4.000414
36.2,200,4.045727
27.0,200,4.087298
10.0,200,4.131497
33.8,200,4.174817
8.9,200,4.221084
20.4,200,4.264162
25.3,200,4.307751
56.6,200,4.380843
23.0,200,4.426857
30.5,200,4.471211
24.5,200,4.515824
28.5,200,4.559476
41.5,200,4.603425
48.0,200,4.646283
32.0,200,4.689044
34.5,200,4.731849
53.5,200,4.776117
23.3,200,4.818113
50.4,200,4.860393
44.9,200,4.90237
31.5,200,4.948224
29.7,200,4.990545
33.5,200,5.034061
27.5,200,5.080183
4.0,200,5.125991
59.4,200,5.167985
32.8,200,5.210497
22.0,200,5.252046
31.3,200,5.296683
55.8,200,5.339711
9.0,200,5.387134
20.9,200,5.432338
51.0,200,5.478323
33.4,200,5.522478
35.5,200,5.566591
4.0,200,5.612663
2.0,200,5.659759
23.5,200,5.704551
36.8,200,5.748331
25.5,200,5.792231
27.0,200,5.83801
36.0,200,5.882663
35.5,200,5.927591
52.0,200,5.970579
47.5,200,6.017559
55.0,200,6.06093
30.3,200,6.105842
42.5,200,6.149782
41.4,200,6.195554
19.0,200,6.241185
33.5,200,6.285606
9.0,200,6.331424
55.4,200,6.375105
54.9,200,6.418993
27.4,200,6.463645
41.0,200,6.507033
54.0,200,6.552349
10.0,200,6.597488
41.0,200,6.642079
14.5,200,6.68675
8.3,200,6.73348
58.5,200,6.77628
23.0,200,6.821324
13.0,200,6.867516
5.0,200,6.913565
30.0,200,6.959152
21.4,200,7.003485
33.8,200,7.049154
52.8,200,7.09405
16.3,200,7.136967
36.4,200,7.18204
14.0,200,7.227722
22.1,200,7.27422
16.5,200,7.31924
25.8,200,7.364735
16.8,200,7.408494
39.3,200,7.451956
59.5,200,7.495457
26.0,200,7.539485
20.2,200,7.583101
16.2,200,7.627353
29.8,200,7.669974
30.2,200,7.714239
15.0,200,7.758824
20.5,200,7.804495
32.9,200,7.847403
44.4,200,7.892329
33.0,200,7.936001
25.5,200,7.981179
27.9,200,8.025369
30.8,200,8.068763
40.9,200,8.113393
14.0,200,8.159233
23.0,200,8.204667
47.5,200,8.248308
23.8,200,8.293589
57.4,200,8.338892
29.7,200,8.383111
34.5,200,8.429349
56.9,200,8.472028
38.9,200,8.519936
58.4,200,8.562359
30.3,200,8.609197
44.5,200,8.655291
56.5,200,8.699525
40.9,200,8.743863
36.6,200,8.786271
43.4,200,8.830887
37.0,200,8.90333
17.5,200,8.94825
36.8,200,8.990759
4.2,200,9.034511
35.3,200,9.07771
53.8,200,9.120863
49.5,200,9.166849
43.6,200,9.209168
50.1,200,9.25352
31.3,200,9.295212
28.3,200,9.338158
14.8,200,9.382423
35.2,200,9.425939
18.0,200,9.470495
28.8,200,9.512256
15.0,200,9.55751
58.4,200,9.599933
8.9,200,9.643168
53.9,200,9.685377
13.9,200,9.728627
28.0,200,9.772963
49.0,200,9.815367
43.5,200,9.858146
31.3,200,9.902291
41.7,200,9.944527
24.5,200,9.988034
32.0,200,10.030924
22.0,200,10.072195
25.0,200,10.115658
34.9,200,10.157907
51.9,200,10.200072
23.9,200,10.243397
38.3,200,10.286914
19.8,200,10.331634
27.5,200,10.373587
27.0,200,10.417343
31.5,200,10.462128
49.4,200,10.504845
21.0,200,10.549746
52.4,200,10.591655
30.2,200,10.63932
19.0,200,10.689456
12.0,200,10.736234
16.9,200,10.781304
4.0,200,10.827673
35.0,200,10.87118
30.3,200,10.915939
8.9,200,10.961672
55.0,200,11.006611
8.4,200,11.052904
16.3,200,11.097463
49.5,200,11.141436
37.5,200,11.185924
26.5,200,11.22962
15.0,200,11.275542
25.0,200,11.320459
52.4,200,11.364217
33.5,200,11.407772
34.5,200,11.453499
34.4,200,11.497109
46.0,200,11.540921
51.8,200,11.583826
20.5,200,11.626597
12.0,200,11.670652
42.5,200,11.714772
28.8,200,11.757343
47.7,200,11.799479
5.9,200,11.842303
44.9,200,11.887229
13.0,200,11.931747
57.8,200,11.975421
53.9,200,12.018619
13.0,200,12.066003
18.0,200,12.11113
50.3,200,12.152351
21.3,200,12.196931
24.9,200,12.243222
39.8,200,12.286894
39.9,200,12.329292
14.4,200,12.371861
29.9,200,12.416591
58.2,200,12.4576
39.3,200,12.500946
46.0,200,12.543362
12.9,200,12.588117
35.9,200,12.63104
48.9,200,12.673176
12.8,200,12.717231
16.0,200,12.762269
43.7,200,12.804696
22.0,200,12.849484
23.9,200,12.892145
19.0,200,12.938191
10.7,200,12.981751
7.7,200,13.025187
42.5,200,13.067452
52.6,200,13.11022
22.2,200,13.153751
15.0,200,13.198012
59.3,200,13.239965
47.8,200,13.282758
