#{"t_start": 1762470251.579319, "env_id": "None"}
r,l,t
27.5,200,0.384436
23.5,200,0.413122
46.5,200,0.441348
7.4,200,0.471418
41.2,200,0.500112
35.7,200,0.528427
7.7,200,0.557205
55.4,200,0.585819
41.4,200,0.613437
26.6,200,0.641025
55.4,200,0.907864
57.5,200,0.935068
47.0,200,0.962668
12.9,200,0.993166
23.2,200,1.021949
34.5,200,1.049793
57.2,200,1.077288
44.8,200,1.105841
32.9,200,1.133933
30.4,200,1.161407
13.3,200,1.41486
29.6,200,1.443288
26.5,200,1.47166
53.3,200,1.499812
47.8,200,1.528724
25.2,200,1.557156
33.3,200,1.584622
38.8,200,1.612929
37.7,200,1.640678
55.3,200,1.667794
21.7,200,1.919499
24.3,200,1.949417
8.0,200,1.977897
29.5,200,2.006101
28.0,200,2.035447
3.1,200,2.064362
50.5,200,2.091978
49.0,200,2.119397
21.8,200,2.14874
28.0,200,2.178
48.7,200,2.428522
4.7,200,2.459137
16.1,200,2.487907
52.5,200,2.51564
6.8,200,2.545034
36.3,200,2.574474
57.0,200,2.601539
52.4,200,2.628695
48.2,200,2.656327
25.1,200,2.684716
28.8,200,2.713189
49.7,200,2.963355
52.7,200,2.993254
47.4,200,3.020692
27.1,200,3.048865
52.1,200,3.077521
29.4,200,3.106143
2.0,200,3.135557
26.7,200,3.164209
52.9,200,3.192429
6.3,200,3.2223
13.1,200,3.475331
3.8,200,3.505969
25.6,200,3.534402
25.7,200,3.563474
54.3,200,3.590532
1.2,200,3.619808
6.8,200,3.649863
46.7,200,3.677518
14.6,200,3.707347
55.3,200,3.734709
23.9,200,3.986639
41.4,200,4.013632
36.9,200,4.042959
55.7,200,4.07061
40.4,200,4.098473
39.8,200,4.127176
21.2,200,4.155655
35.4,200,4.183108
16.0,200,4.211482
28.3,200,4.240733
12.0,200,4.49224
19.2,200,4.520337
10.9,200,4.54963
31.4,200,4.577781
16.6,200,4.607189
28.3,200,4.63398
53.1,200,4.663078
50.3,200,4.6903
6.6,200,4.719696
15.8,200,4.748616
17.6,200,4.777789
44.0,200,5.028952
27.0,200,5.057013
39.1,200,5.086448
42.3,200,5.113816
52.0,200,5.140846
54.3,200,5.167552
41.8,200,5.196242
35.4,200,5.224182
2.9,200,5.252731
34.4,200,5.281159
20.3,200,5.530659
25.6,200,5.559309
42.7,200,5.58707
33.1,200,5.615181
25.6,200,5.643473
20.4,200,5.672323
49.2,200,5.700186
20.0,200,5.740438
36.2,200,5.789696
51.4,200,5.818805
27.2,200,6.074025
43.6,200,6.104749
29.9,200,6.134853
53.2,200,6.162519
56.1,200,6.190006
-0.4,200,6.217855
39.3,200,6.247315
32.7,200,6.275589
15.3,200,6.304494
23.7,200,6.334318
32.0,200,6.588104
28.0,200,6.616431
52.6,200,6.644736
39.0,200,6.672399
35.2,200,6.700393
52.7,200,6.727145
52.8,200,6.755319
54.5,200,6.78222
36.5,200,6.809828
39.1,200,6.837843
24.4,200,6.867653
31.0,200,7.122328
34.6,200,7.149807
48.0,200,7.178044
26.2,200,7.205843
35.6,200,7.233319
53.3,200,7.25971
28.8,200,7.28921
27.8,200,7.317312
29.8,200,7.346069
18.9,200,7.375195
54.2,200,7.651907
52.5,200,7.679205
29.5,200,7.708153
23.2,200,7.736341
32.7,200,7.763702
51.6,200,7.791666
31.8,200,7.820055
40.1,200,7.847736
45.8,200,7.874703
11.6,200,7.904799
22.4,200,8.157658
39.4,200,8.186024
2.4,200,8.215948
21.5,200,8.244346
30.9,200,8.272039
52.2,200,8.298729
53.4,200,8.326535
-1.0,200,8.355406
53.1,200,8.381969
24.8,200,8.410452
48.8,200,8.660986
39.8,200,8.689134
33.4,200,8.717112
52.3,200,8.7459
50.8,200,8.773195
40.8,200,8.800789
54.6,200,8.827045
