#{"t_start": 1762470199.700185, "env_id": "None"}
r,l,t
46.1,200,15.079757
42.2,200,15.107578
45.9,200,15.136781
22.3,200,15.164405
43.2,200,15.192443
10.2,200,15.221258
47.3,200,15.248974
29.9,200,15.277058
46.2,200,15.305071
56.7,200,15.557188
56.5,200,15.584328
57.5,200,15.611843
27.3,200,15.640665
50.2,200,15.668437
57.8,200,15.695537
57.8,200,15.722657
50.2,200,15.750887
57.0,200,15.778041
33.7,200,15.805712
51.7,200,15.833022
46.7,200,16.083919
55.3,200,16.110762
29.2,200,16.138323
47.2,200,16.165175
53.1,200,16.19399
31.5,200,16.221947
20.5,200,16.250029
31.6,200,16.27902
26.8,200,16.307306
29.8,200,16.334564
33.2,200,16.586559
57.9,200,16.614267
39.5,200,16.642196
52.7,200,16.669516
46.2,200,16.697656
24.5,200,16.725643
23.7,200,16.753505
47.1,200,16.780902
58.4,200,16.809036
14.2,200,16.837562
36.7,200,17.087817
19.8,200,17.117201
5.0,200,17.145661
54.7,200,17.172628
51.7,200,17.199632
29.8,200,17.228665
57.6,200,17.255992
56.6,200,17.28301
56.9,200,17.310232
48.6,200,17.338658
25.0,200,17.589063
50.7,200,17.616827
49.2,200,17.645212
51.9,200,17.672711
52.6,200,17.700311
57.6,200,17.727471
24.6,200,17.756755
23.4,200,17.78446
38.2,200,17.812091
28.7,200,17.840153
55.2,200,17.868645
43.6,200,18.120424
26.6,200,18.148725
56.4,200,18.176998
25.0,200,18.205674
53.1,200,18.233367
56.7,200,18.260565
44.1,200,18.289158
55.5,200,18.316619
35.9,200,18.344202
55.1,200,18.371281
35.4,200,18.62218
56.9,200,18.649108
52.4,200,18.676511
21.0,200,18.705594
53.7,200,18.733161
55.7,200,18.760679
36.3,200,18.788446
34.9,200,18.817319
24.5,200,18.8454
53.1,200,18.872706
55.0,200,19.123861
54.5,200,19.151475
26.1,200,19.179728
49.0,200,19.207797
2.0,200,19.237514
57.4,200,19.264522
55.9,200,19.291949
58.5,200,19.319202
57.8,200,19.347488
52.1,200,19.374926
35.0,200,19.626468
