#{"t_start": 1762476975.518985, "env_id": "None"}
r,l,t
57.1,200,0.377949
41.7,200,0.405064
24.6,200,0.432563
5.9,200,0.460527
29.0,200,0.487514
26.1,200,0.514246
11.2,200,0.541476
32.3,200,0.56724
53.1,200,0.592962
19.3,200,0.619569
20.2,200,0.901442
30.8,200,0.928637
35.2,200,0.955107
33.8,200,0.981903
56.9,200,1.007666
19.6,200,1.034494
32.8,200,1.060835
34.5,200,1.08788
42.6,200,1.113766
23.5,200,1.140325
30.3,200,1.38266
52.4,200,1.408584
4.2,200,1.436099
3.9,200,1.463266
2.5,200,1.491011
24.1,200,1.517778
39.0,200,1.543858
1.5,200,1.571681
10.7,200,1.598706
4.5,200,1.626028
26.5,200,1.869106
22.4,200,1.896319
46.4,200,1.922668
2.2,200,1.95003
12.9,200,1.977478
28.3,200,2.004217
27.0,200,2.030737
40.7,200,2.056413
24.6,200,2.083507
40.0,200,2.110422
57.7,200,2.351945
26.3,200,2.378659
29.0,200,2.405336
48.5,200,2.431301
24.8,200,2.457744
44.2,200,2.484237
25.2,200,2.511344
22.8,200,2.537798
10.9,200,2.564402
27.8,200,2.591118
57.2,200,2.616474
-0.9,200,2.858636
52.7,200,2.884787
27.1,200,2.91151
46.2,200,2.937483
32.0,200,2.96424
57.5,200,2.989954
26.1,200,3.016159
23.4,200,3.043232
4.9,200,3.070798
-1.1,200,3.097918
19.0,200,3.339608
12.8,200,3.366911
34.0,200,3.393824
32.5,200,3.420392
13.5,200,3.447863
54.6,200,3.473625
9.0,200,3.500927
35.7,200,3.527038
34.9,200,3.553803
48.0,200,3.579871
57.5,200,3.821826
24.4,200,3.849292
57.2,200,3.8753
39.4,200,3.902709
12.8,200,3.930911
24.3,200,3.957683
18.3,200,3.984623
45.5,200,4.010736
43.5,200,4.037042
21.0,200,4.063981
36.1,200,4.314364
33.6,200,4.34146
24.7,200,4.36863
23.3,200,4.396315
6.6,200,4.423439
3.3,200,4.450646
23.6,200,4.477757
15.2,200,4.504779
49.5,200,4.530821
9.6,200,4.55742
39.5,200,4.584293
20.2,200,4.829522
29.7,200,4.856223
40.9,200,4.883126
16.8,200,4.910474
7.8,200,4.937606
-0.7,200,4.964838
28.3,200,4.991206
35.2,200,5.018126
21.8,200,5.044423
34.6,200,5.070904
57.1,200,5.371029
34.5,200,5.397626
39.2,200,5.424418
4.9,200,5.452217
23.1,200,5.479492
56.0,200,5.50549
53.2,200,5.531787
48.6,200,5.557739
51.1,200,5.583602
26.8,200,5.610918
57.4,200,5.854828
40.7,200,5.881461
9.6,200,5.907945
49.4,200,5.93416
9.0,200,5.96073
9.7,200,5.987534
50.7,200,6.013965
44.1,200,6.040368
3.7,200,6.06772
55.6,200,6.093914
24.5,200,6.337992
14.9,200,6.365941
33.4,200,6.39202
1.2,200,6.419564
24.0,200,6.445953
34.9,200,6.472557
42.6,200,6.498783
55.6,200,6.524483
41.6,200,6.551493
32.8,200,6.578327
3.4,200,6.606042
17.7,200,6.84924
0.8,200,6.877386
48.5,200,6.90373
13.7,200,6.930108
56.8,200,6.955493
28.8,200,6.982793
23.2,200,7.009469
41.2,200,7.035728
32.9,200,7.061982
33.8,200,7.089036
0.4,200,7.331722
21.0,200,7.358924
23.6,200,7.385868
51.9,200,7.412303
23.9,200,7.439611
24.2,200,7.466289
34.2,200,7.49294
44.3,200,7.518882
25.3,200,7.545313
26.8,200,7.572623
35.0,200,7.814989
6.6,200,7.842223
19.9,200,7.869047
20.9,200,7.895906
21.8,200,7.922482
30.8,200,7.949269
27.2,200,7.975744
36.7,200,8.001886
1.8,200,8.02912
34.1,200,8.055271
33.8,200,8.296389
27.0,200,8.322595
27.4,200,8.349628
5.3,200,8.377247
29.1,200,8.40454
39.8,200,8.430725
30.5,200,8.457198
1.4,200,8.484717
21.0,200,8.511279
19.2,200,8.538511
36.0,200,8.564715
15.7,200,8.806606
33.1,200,8.833478
50.4,200,8.862759
54.1,200,8.888913
57.8,200,8.915086
57.0,200,8.94106
58.5,200,8.967281
27.6,200,8.994565
32.3,200,9.021128
24.5,200,9.047928
30.9,200,9.288553
28.2,200,9.315239
32.7,200,9.342042
34.2,200,9.369177
5.2,200,9.396652
18.6,200,9.423676
45.5,200,9.449837
6.5,200,9.477631
39.1,200,9.504217
27.4,200,9.531119
54.5,200,9.77193
