#{"t_start": 1762477029.830941, "env_id": "None"}
r,l,t
37.0,200,0.384882
29.4,200,0.412415
32.8,200,0.43918
30.7,200,0.466664
38.2,200,0.493578
8.2,200,0.521949
33.4,200,0.548069
33.4,200,0.574794
40.2,200,0.601568
53.4,200,0.627849
1.1,200,0.884731
57.4,200,0.910997
45.2,200,0.93719
10.0,200,0.964333
8.4,200,0.991581
47.9,200,1.017457
7.9,200,1.044691
27.3,200,1.071621
47.5,200,1.098006
12.9,200,1.125061
43.2,200,1.36605
57.1,200,1.391477
27.0,200,1.417966
27.2,200,1.44465
20.5,200,1.471549
57.6,200,1.497793
0.3,200,1.525084
15.9,200,1.552421
46.1,200,1.578781
23.5,200,1.605441
49.0,200,1.846294
42.4,200,1.872612
28.0,200,1.8993
32.0,200,1.926024
53.9,200,1.951683
54.0,200,1.977466
41.9,200,2.003785
57.8,200,2.029659
36.4,200,2.056299
39.4,200,2.082352
58.3,200,2.321612
14.8,200,2.348892
41.5,200,2.375215
5.5,200,2.402642
41.9,200,2.428233
21.2,200,2.455188
26.9,200,2.481841
41.0,200,2.507734
25.0,200,2.534195
10.0,200,2.561023
31.8,200,2.588019
32.5,200,2.834314
47.4,200,2.860651
48.0,200,2.887348
0.9,200,2.914304
57.3,200,2.940427
23.7,200,2.967224
34.5,200,2.993435
22.1,200,3.020499
24.7,200,3.047337
36.2,200,3.07362
20.8,200,3.314834
30.8,200,3.341979
1.8,200,3.369346
21.1,200,3.39627
4.2,200,3.423664
52.1,200,3.449569
58.0,200,3.475592
27.5,200,3.502504
4.5,200,3.529322
20.9,200,3.55592
17.0,200,3.797067
5.0,200,3.825211
56.9,200,3.851243
57.5,200,3.877251
27.1,200,3.903923
28.8,200,3.930635
49.2,200,3.956294
46.5,200,3.982385
19.3,200,4.009702
18.6,200,4.037262
15.9,200,4.27795
58.6,200,4.303938
42.7,200,4.330729
24.2,200,4.357682
2.7,200,4.385344
52.6,200,4.410868
42.7,200,4.437467
36.6,200,4.46392
43.2,200,4.490543
50.5,200,4.517262
37.7,200,4.544291
25.9,200,4.788695
16.9,200,4.815796
22.1,200,4.84306
26.0,200,4.869784
0.2,200,4.897312
37.4,200,4.924016
24.6,200,4.951759
23.6,200,4.979658
3.9,200,5.007667
29.4,200,5.035038
40.6,200,5.287285
25.8,200,5.315063
28.2,200,5.342135
4.5,200,5.370131
36.1,200,5.396596
23.3,200,5.423472
5.9,200,5.450853
23.0,200,5.478296
39.0,200,5.50484
36.5,200,5.531825
57.4,200,5.779991
41.7,200,5.806732
22.2,200,5.83531
26.6,200,5.862501
42.6,200,5.889272
2.5,200,5.917223
21.6,200,5.944276
44.6,200,5.970721
34.6,200,5.997697
2.1,200,6.024904
18.3,200,6.267111
34.4,200,6.294226
40.1,200,6.320175
35.4,200,6.347152
24.5,200,6.3743
55.2,200,6.399975
41.6,200,6.426133
37.1,200,6.4531
35.4,200,6.479874
45.8,200,6.506178
54.5,200,6.532006
34.1,200,6.772454
21.3,200,6.798794
31.7,200,6.826264
30.4,200,6.85306
31.3,200,6.880225
9.9,200,6.907168
43.3,200,6.933718
20.5,200,6.960556
31.0,200,6.988592
28.5,200,7.015961
40.9,200,7.272924
24.7,200,7.301363
54.7,200,7.329658
31.8,200,7.358418
25.1,200,7.387528
17.0,200,7.418246
21.5,200,7.448877
8.9,200,7.478965
27.2,200,7.508796
29.3,200,7.539242
38.7,200,7.802162
22.5,200,7.830948
55.7,200,7.857177
6.5,200,7.886329
25.6,200,7.913798
